"id","site","name","parent_id","order","category_id","link","image"
"2","SMART","Thiết bị mạng",NULL,14,"2672","https://aiosmart.com.vn/thiet-bi-mang","https://aiohomes.com.vn/media/mega_menu/item/thi_t_b_m_ng.png"
"49","SMART","Thiết bị ghi hình",NULL,11,"2673","https://aiosmart.com.vn/thiet-bi-ghi-hinh","https://aiohomes.com.vn/media/mega_menu/item/webcam.png"
"71","SMART","Camera","49",12,"2701","https://aiosmart.com.vn/thiet-bi-ghi-hinh/camera",""
"394","SMART","Gia dụng",NULL,1,"2671","https://aiosmart.com.vn/gia-dung","https://aiohomes.com.vn/media/mega_menu/item/gia_dung.png"
"395","SMART","Nồi cơm","394",3,"2683","https://aiosmart.com.vn/gia-dung/noi-com-dien",""
"396","SMART","Bếp từ","394",5,"2697","https://aiosmart.com.vn/gia-dung/bep-tu",""
"412","SMART","Điện tử",NULL,16,"2670","https://aiosmart.com.vn/dien-tu","https://aiohomes.com.vn/media/mega_menu/item/tbdt-dl.png"
"413","SMART","Máy giặt","412",17,"2698","https://aiosmart.com.vn/dien-tu/may-giat",""
"414","SMART","Máy sấy","412",18,"2699","https://aiosmart.com.vn/dien-tu/may-say",""
"428","SMART","Máy lọc không khí",NULL,15,"2690","https://aiosmart.com.vn/gia-dung/loc-khong-khi","https://aiohomes.com.vn/media/mega_menu/item/cssk.png"
"429","SMART","Máy lọc nước",NULL,10,"2676","https://aiosmart.com.vn/may-loc-nuoc","https://aiohomes.com.vn/media/mega_menu/item/tbdt-dl.png"
"431","SMART","Máy ép, máy làm sữa hạt","394",6,"2681","https://aiosmart.com.vn/gia-dung/may-ep-may-lam-sua-hat",""
"432","SMART","Quạt làm mát ","394",9,"2695","https://aiosmart.com.vn/gia-dung/quat-lam-mat",""
"433","SMART","Nồi chiên","394",2,"2682","https://aiosmart.com.vn/gia-dung/noi-chien",""
"434","SMART","Webcam","49",13,"2702","https://aiosmart.com.vn/thiet-bi-ghi-hinh/webcam",""
"435","SMART","Lò vi sóng, lò nướng","394",8,"3181","https://aiosmart.com.vn/gia-dung/lo-vi-song-lo-nuong",""
"436","SMART","Bình nóng lạnh ","394",7,"2688","https://aiosmart.com.vn/gia-dung/binh-nong-lanh",""
"438","SMART","Nồi áp suất","394",4,"2684","https://aiosmart.com.vn/gia-dung/noi-ap-suat",""
